artifact_id,artifact_type,name,manufacturer_or_body,era_or_first_date,network_or_family,layer_or_role,research_state,primary_source_target,notes
ART-0001,system,SAGE,"US Air Force; IBM; MIT Lincoln Laboratory; contractors",1950s,SAGE,"real-time command/data communications",started,"SAGE technical manuals; AN/FSQ-7 manuals","Do not equate simplistically with packet networking"
ART-0002,computer,AN/FSQ-7,IBM,1950s,SAGE,"central computing/communications",seed,"IBM/USAF manuals","Record communications peripherals separately"
ART-0003,modem-data-set,Bell Data Set 101,Bell System,1950s,Bell data communications,"digital-to-telephone boundary",priority,"AT&T/Bell manuals and announcements","Chronology/status disputed in secondary sources"
ART-0004,modem-data-set,Bell Data Set 103,Bell System,1950s-1960s,Bell data communications,"dial-up modem",priority,"AT&T/Bell manuals and announcements","Resolve relationship to Bell 101 and 1958/1959 claims"
ART-0005,terminal,Teletype Model 33 ASR,Teletype Corporation,1960s,terminal/time-sharing,"hardcopy terminal",seed,"Teletype manuals/catalogs","Record ASCII revision line speeds current-loop/RS-232 interfaces"
ART-0006,packet-switch,Interface Message Processor (DDP-516),BBN/Honeywell,1969,ARPANET,"packet switching node",started,"BBN reports; Honeywell manuals; RFCs","Split later IMP hardware generations"
ART-0007,minicomputer,Honeywell DDP-516,Honeywell,1960s,ARPANET IMP,"IMP processor platform",started,"Honeywell hardware manual; BBN docs","Record ruggedization memory and I/O configuration"
ART-0008,interface,Host-IMP Interface,"ARPA/BBN/site implementers",1969,ARPANET,"host-to-packet-switch interface",started,"RFC 7; site interface drawings","Each host may require distinct hardware implementation"
ART-0009,host,SDS Sigma 7,SDS,1969,ARPANET/UCLA,"ARPANET host",started,"UCLA host-interface and OS documents","One of first four hosts"
ART-0010,host,SDS 940,SDS,1969,ARPANET/SRI,"ARPANET host",started,"SRI/NIC documents","One of first four hosts"
ART-0011,host,IBM System/360 Model 75,IBM,1969,ARPANET/UCSB,"ARPANET host",started,"UCSB/IBM interface docs","One of first four hosts"
ART-0012,host,DEC PDP-10,DEC,1969,ARPANET/Utah,"ARPANET host",started,"Utah interface/software docs","Exact model/configuration to verify"
ART-0013,packet-switch,Terminal Interface Processor (TIP),BBN,1970s,ARPANET,"terminal access packet switch",started,"BBN TIP Hardware Manual ADA002481; BBN TIP software/manual corpus","Deep terminal-access excavation exists; recover exact processor/terminal scanner cards software tasks and deployed site configurations"
ART-0014,packet-switch,Pluribus IMP,BBN,1970s,ARPANET,"multiprocessor packet switch",seed,"BBN Pluribus reports/source","Record processor modules and software"
ART-0015,packet-radio,ALOHAnet terminal,University of Hawaiʻi,1971,ALOHAnet,"packet-radio user terminal",priority,"ALOHAnet papers/schematics","Recover UHF radios rates packet formats"
ART-0016,packet-switch,CIGALE Mitra 15 node,"CII/IRIA",1970s,CYCLADES/CIGALE,"datagram packet switch",priority,"CYCLADES/CIGALE reports; Mitra 15 manuals","Important hardware embodiment of CYCLADES"
ART-0017,lan-interface,Xerox Alto Ethernet interface,Xerox PARC,1973,Ethernet/PUP,"experimental LAN interface",started,"PARC memos/hardware docs/source","Deep excavation exists; now split interface hardware microcode and transceiver revisions"
ART-0018,network-medium,10BASE5 thick Ethernet,IEEE/vendor ecosystem,1980s,Ethernet,"shared coax LAN medium",started,"IEEE/vendor installation manuals","Include coax transceivers vampire taps AUI terminators"
ART-0019,transceiver,10BASE5 MAU/vampire tap,various,1980s,Ethernet,"coax transceiver attachment",seed,"vendor manuals/catalogs","Model-level catalog needed"
ART-0020,network-medium,10BASE2 thin Ethernet,various,1980s,Ethernet,"shared thin-coax LAN",started,"vendor/IEEE manuals","BNC T connectors and termination are operationally essential"
ART-0021,hub,10BASE-T repeater hub,various,late 1980s-1990s,Ethernet,"multiport repeater",seed,"vendor manuals","Physical star but shared collision domain"
ART-0022,bridge,Ethernet transparent bridge,various,1980s,Ethernet/802.1,"layer-2 forwarding",started,"Radia Perlman 1985; IEEE 802.1D; RFC 1493; DEC/bridge vendor docs","Bridge/STP/switch/VLAN lineage excavation exists; split product families and exact STP dialects"
ART-0023,switch,Kalpana EtherSwitch,Kalpana,1990s,Ethernet,"multiport bridge/switch",priority,"Kalpana manuals/patents/catalogs","Early commercial Ethernet switching history"
ART-0024,lan,IBM Token Ring MAU,IBM,1980s,Token Ring,"ring concentration/cabling",seed,"IBM Token Ring/cabling manuals","Record 4/16 Mbit/s generations and connector types"
ART-0025,nic,Novell NE2000,Novell/OEM,1980s-1990s,Ethernet/PC,"ISA Ethernet NIC",seed,"Novell hardware/driver manuals","Document chipset clones IRQ/I/O packet driver support"
ART-0026,router,Fuzzball router,David Mills/NSFNET sites,1986,NSFNET,"IP router",started,"NSFNET reports; Fuzzball source/docs","Deep internals excavation exists; exact per-site hardware remains priority"
ART-0027,backbone-node,IBM RT Nodal Switching Subsystem,"IBM; Merit; MCI",1988,NSFNET T1,"distributed backbone packet switching/routing node",substantial,"RFC 1074; RFC 1093; Merit Figure 14; IBM/Merit technical records","Structured artifact record exists; generic node = nine RT systems + dual Token Rings + management/WACS; exact model-level BOM remains open"
ART-0028,backbone-node,IBM RS/6000 NSFNET T3 node,"IBM/Merit",1991,NSFNET T3,"backbone routing/switching",priority,"NSFNET/Merit reports","Exact models/interfaces/software needed"
ART-0029,terminal-server,DECserver,DEC,1980s-1990s,DECnet/LAT/TCP-IP,"serial terminal server",started,"DEC LAT Architecture guide; DECserver 100 manuals and firmware","Terminal-access role excavation exists; split DECserver models and LAT/other protocol support"
ART-0030,terminal-server,Livingston PortMaster,Livingston,1990s,Internet access,"dial-up/terminal/IP access server",started,"Livingston PortMaster Configuration Guide; ComOS releases; RFC 2058 origin evidence","Deep terminal-access and PortMaster→RADIUS lineage excavations exist; split models/ComOS/RADIUS client revisions"
ART-0031,access-server,Ascend MAX,Ascend Communications,1990s,Internet access,"PRI/modem/PPP access concentrator",priority,"Ascend manuals/catalogs","Dial-up ISP archaeology"
ART-0032,modem-bank,USRobotics Total Control,USRobotics,1990s,Internet access,"rack modem/digital access system",priority,"USR manuals","Preserve modem cards PRI/T1 management architecture"
ART-0033,wan-device,CSU/DSU,various,1980s-1990s,leased-line IP/WAN,"carrier circuit termination",seed,"vendor/Telco manuals","Catalog models and DDS/T1/E1 distinctions"
ART-0034,wan-device,X.25 Packet Assembler/Disassembler,various,1970s-1990s,X.25,"async terminal to packet network gateway",started,"X.3/X.28/X.29 plus vendor manuals","Deep PAD and terminal-access comparison exists; product-level PAD archaeology remains priority"
ART-0035,wan,Frame Relay Access Device,various,1990s,Frame Relay,"enterprise-to-carrier packet access",seed,"vendor/Frame Relay Forum docs","Preserve DLCI/LMI/CIR operational context"
ART-0036,wan-switch,ATM switch,various,1990s,ATM,"cell switching",seed,"ATM Forum/vendor manuals","Record UNI/NNI/AAL5/LANE use cases"
ART-0037,diagnostic,RS-232 breakout box,various,1970s-1990s,serial networking,"signal diagnostic tool",seed,"vendor catalogs/manuals","Preserve operator-level troubleshooting practice"
ART-0038,diagnostic,Ethernet TDR/cable tester,various,1980s-1990s,Ethernet,"physical cable fault diagnosis",seed,"vendor manuals","Important for shared-coax operations"
ART-0039,protocol-family,NCP,"ARPANET Network Working Group",1970s,ARPANET,"host-to-host networking",started,"RFC/NWG documents/source code","Do not confuse with IBM or NetWare NCP"
ART-0040,protocol-family,X.25,CCITT,1976-,public data networks,"virtual-circuit packet service",started,"edition-specific CCITT recommendations","Treat 1976 and later editions separately"
ART-0041,protocol-family,PUP,Xerox PARC,1970s,PUP internet,"internetwork protocol suite",started,"PARC papers/source","Deep excavation exists; recover release-level specifications source and deployed gateway configurations"
ART-0042,protocol-family,TCP/IP,"DARPA/IETF predecessors",1970s-,Internet,"internetwork/transport suite",started,"IENs; RFCs; source trees","Track pre-split TCP and later versions separately"
ART-0043,software,4.2BSD networking stack,CSRG/Berkeley,1983,BSD/Internet,"TCP-IP implementation/socket API",priority,"4.2BSD source tree/manuals","Implementation history distinct from protocol specification"
ART-0044,software,UUCP,Unix/Bell Labs and descendants,1970s-,UUCP networks,"store-and-forward transfer",started,"source trees/manuals","Deep excavation now exists; track protocol variants and HDB lineage"
ART-0045,software,A News/B News/C News,various,1979-,Usenet,"news propagation software",started,"source trees/docs","Deep excavation now exists; split A/B/C release trees into distinct records"
ART-0046,network,NPL Mark I Data Communications Network,National Physical Laboratory,1969-1970,NPL,"experimental local packet-switched network",started,"NPL project memoranda; Campbell-Kelly archive; switch/interface records","Distinguish partial 1969 operation from 1970 operational milestone"
ART-0047,network,NPL Mark II Data Communications Network,National Physical Laboratory,1970s,NPL,"redesigned packet network software/protocol system",started,"NPL Mark II reports; project memoranda","Primarily software/protocol redesign; exact transition milestones still need primary documents"
ART-0048,interface,BS 4421 8-bit parallel computer interface,"British Standards Institution; NPL/ICT contributors",1969,NPL/data communications,"host/computer communications interface",priority,"BS 4421 edition; NPL drafts","Important pre-RS-232 local interface lineage; rights check required"
ART-0049,protocol,Alternating-bit link protocol (NPL/Bartlett),"Keith Bartlett; NPL",1968,NPL,"link-level reliability/retransmission",priority,"Transmission Control in a Local Network; NPL memoranda","Recover exact state machine and terminology from primary text"
ART-0050,computer,CII Mitra 15,CII,1970s,CYCLADES/CIGALE,"packet-switch and terminal-concentrator processor platform",started,"Mitra 15 hardware manuals; CIGALE paper","CIGALE configuration described with 16K 16-bit words; exact revisions/site BOMs needed"
ART-0051,interface,CCITT V.24 host attachment in CYCLADES,CCITT/CYCLADES implementers,1970s,CYCLADES,"host-to-CIGALE serial/data interface",started,"CIGALE papers; host installation records","Do not collapse V.24 functional interface and electrical recommendation details"
ART-0052,network-link,NPL-CYCLADES experimental link,"NPL; IRIA; PTT/carrier participants",1974,NPL/CYCLADES,"international packet-network interconnection",started,"1974 contemporary report; NPL/IRIA technical records","Lead: Codex modems; 9600-baud circuit; IBM BSC at low level; needs bilateral primary confirmation"
